,Country,Country Telugu
0,,
1,Christmas Island,క్రిస్మస్ ద్వీపం
2,Kenya,కెన్యా
3,,
4,Somalia,సోమాలియా
5,Sudan,సుడాన్
6,,
7,Philippines,ఫిలిప్పీన్స్
8,Mexico,మెక్సికో
9,,
10,Ethiopia,ఇథియోపియా
11,,
12,,
13,Ethiopia,ఇథియోపియా
14,,
15,Senegal,సెనెగల్
16,South Sudan,దక్షిణ సుడాన్
17,Ethiopia,ఇథియోపియా
18,Ethiopia,ఇథియోపియా
19,,
20,Ethiopia,ఇథియోపియా
21,Saudi Arabia,సౌదీ అరేబియా
22,Ethiopia,ఇథియోపియా
23,,
24,Mali,మాలి
25,,
26,,
27,,
28,Brazil,బ్రెజిల్
29,Brazil,బ్రెజిల్
30,Cameroon,కామెరూన్
31,Puerto Rico,ప్యూర్టో రికో
32,,
33,,
34,,
35,Afghanistan,ఆఫ్ఘనిస్తాన్
36,Afghanistan,ఆఫ్ఘనిస్తాన్
37,,
38,,
39,South Africa,దక్షిణాఫ్రికా
40,,
41,,
42,,
43,Ethiopia,ఇథియోపియా
44,Japan,జపాన్
45,,
46,Algeria,అల్జీరియా
47,,
48,,
49,Iraq,ఇరాక్
50,,
51,Central African Republic,సెంట్రల్ ఆఫ్రికన్ రిపబ్లిక్
52,,
53,,
54,Senegal,సెనెగల్
55,,
56,Namibia,నమిబియా
57,,
58,,
59,,
60,,
61,,
62,Cuba,క్యూబా
63,,
64,Madagascar,మడగాస్కర్
65,,
66,,
67,,
68,,
69,,
70,South Africa,దక్షిణాఫ్రికా
71,Saudi Arabia,సౌదీ అరేబియా
72,,
73,,
74,,
75,,
76,South Africa,దక్షిణాఫ్రికా
77,Central African Republic,సెంట్రల్ ఆఫ్రికన్ రిపబ్లిక్
78,Angola,అంగోల్వా
79,,
80,,
81,,
82,,
83,,
84,South Africa,దక్షిణాఫ్రికా
85,,
86,,
87,Congo,కాంగో
88,South Africa,దక్షిణాఫ్రికా
89,Egypt,ఈజిప్ట్
90,Senegal,సెనెగల్
91,Central African Republic,సెంట్రల్ ఆఫ్రికన్ రిపబ్లిక్
92,United States,యునైటెడ్ స్టేట్స్
93,,
94,Ethiopia,ఇథియోపియా
95,South Africa,దక్షిణాఫ్రికా
96,Sierra Leone,సియెర్రా లియోన్
97,Madagascar,మడగాస్కర్
98,South Africa,దక్షిణాఫ్రికా
99,,
100,Senegal,సెనెగల్
101,,
102,,
